id,name
478,Bireswar Sen
479,Birgit Minichmayr
480,Birgitta Petterson
481,Birgitte Federspiel
482,Blaise Cendrars
483,Blanca Apilanez Fernandez
484,Blanche Friderici
485,Bo Byers
486,Bob Dylan
487,Bob Gunton
488,Bob Steele
489,Bob Tull
490,Bobby Cannavale
491,Bobby Di Cicco
492,Bobby Henrey
493,Bobita
494,Bohumil Moudry
495,Bonaventura Ibáñez
496,Boncuk Yilmaz
497,Bonnie Bartlett
498,Bonnie Bedelia
499,Bontarô Miake
500,Boris Ferdinandov
501,Boris Karloff
502,Boris Lisowski
503,Boris Livanov
504,Boris Nevzorov
505,Boris Plotnikov
506,Boris Zakhava
507,Bozena Dykiel
508,Bozena Miefiodow
509,Brad Dourif
510,Brad Pitt
511,Brad Sullivan
512,Brahim Haggiag
513,Brandon Hurst
514,Brenda Bruce
515,Brenda De Banzie
516,Brenda Vaccaro
517,Brent Briscoe
518,Brian Cox
519,Brian F. O'Byrne
520,Brian Haley
521,Brian Howe
522,Brian Keith Allen
523,Brian Libby
524,Brian Markinson
525,Brian May
526,Brian Smith
527,Brian Thompson
528,Brian Tyler
529,Bridget Fonda
530,Brigitte Fossey
531,Brigitte Helm
532,Brigitte Mira
533,Brion James
534,Brionne Davis
535,Brock Peters
536,Brooke Gladstone
537,Brooks Benedict
538,Bruce Cabot
539,Bruce M. Fischer
540,Bruce Willis
541,Bruno Carotenuto
542,Bruno Cirino
543,Bruno Cremer
544,Bruno Ganz
545,Bruno Kirby
546,Bruno Lapeyre
547,Bruno Moneglia
548,Bruno Musso
549,Bruno S.
550,Bruno VeSota
551,Bruno Zanin
552,Bryan Genesse
553,Buba Bayour
554,Bud Spencer
555,Bulle Ogier
556,Bunk Gardner
557,Burghart Klaußner
558,Burr DeBenning
559,Burt Lancaster
560,Burt Young
561,Buster Keaton
562,Buster Keaton jr.
563,Byron Barr
564,Byung-ho Son
565,Béatrice Tabourin
566,Börje Ahlstedt
567,C. Aubrey Smith
568,Cab Calloway
569,Cameron Mitchell
570,Camilla Horn
571,Camilla Spira
572,Camille Carraz
573,Candace Evanofski
574,Candy Clark
575,Candy Darling
576,Cara Uchida
577,Caridad de Laberdesque
578,Carl Billquist
579,Carl Duering
580,Carl Frank
581,Carl Goetz
582,Carl Moehner
583,Carla Chiarelli
584,Carla Del Poggio
585,Carla Gravina
586,Carla Mancini
587,Carlo Battisti
588,Carlo Croccolo
589,Carlo Delle Piane
590,Carlo Giuffrè
591,Carlo Pisacane
592,Carlo Romano
593,Carlos Conceição
594,Carlos Echevarría
595,Carloto Cotta
596,Carlton Griffin
597,Carme Elias
598,Carmela Savio
599,Carmelo Bene
600,Carmelo Silva
601,Carmen Argenziano
602,Carmen Molina
603,Carmine Borrino
604,Carol Blodgett
605,Carol Tam
606,Carol Yorke
607,Carole André
608,Carole Bouquet
609,Carole Laure
610,Carole Lombard
611,Carolin Fink
612,Caroline Goodall
613,Caroline Lang
614,Carolyn Jones
615,Carrie Fisher
616,Carter DeHaven
617,Cary Grant
618,Catarina Vasconcelos
619,Catarina Wallenstein
620,Caterina Boratto
621,Catherine Deneuve
622,Catherine Frot
623,Catherine Jourdan
624,Catherine Lacey
625,Catherine O'Hara
626,Catherine Spaak
627,Cathy Malone
628,Cathy Moriarty
629,Cathy Rosier
630,Cay Izumi
631,Cec Linder
632,Cecil B. DeMille
633,Cecil Carter
634,Cecilia Cheung
635,Cedric Hardwicke
636,Celeste Holm
637,Celia Johnson
638,Celine Tanneberger
639,Cesare Gravina
640,Chae Rang
641,Chamanun Wanwinwatsara
642,Chaoming Cui
643,Charles Aznavour
644,Charles Belcher
645,Charles Bickford
646,Charles Boyer
647,Charles Bronson
648,Charles Chaplin
649,Charles Coburn
650,Charles D. Brown
651,Charles Dhumerelle
652,Charles Durning
653,Charles Farrell
654,Charles Fathy
655,Charles Granval
656,Charles Lamy
657,Charles Laughton
658,Charles Le Clainche
659,Charles Macaulay
660,Charles Martin Smith
661,Charles McGraw
662,Charles Napier
663,Charles Ruggles
664,Charles Seel
665,Charles Stevens
666,Charles Stevenson
667,Charles Vanel
668,Charles Waldron
669,Charley Grapewin
670,Charlotte Kady
671,Charlotte Rampling
672,Charlotte Stewart
673,Charlton Heston
674,Checco Durante
675,Checco Rissone
676,Cheech Marin
677,Chen Chang
678,Chen Daoming
679,Chen Shiang-chyi
680,Cheng Lei
681,Cheri LeCornu
682,Chester Conklyn
683,Chete Lera
684,Cheung-Yan Yuen
685,Chhabi Biswas
686,Chiao Chiao
687,Chico Marx
688,Chief Dan George
689,Chieko Murata
690,Chieko Nakakita
691,Chikage Awashima
692,Chikako Hosokawa
693,Chiling Lin
694,Chill Wills
695,Chingiz Tsydendambayev
696,Chisato Amate
697,Chishu Ryu
698,Chitra Banerjee
699,Chiyeko Higashiyama
700,Chocho Mikayo
701,Chojuro Kawarasaki
702,Choko Iida
703,Chow Yun-fat
704,Chris Buchanan
705,Chris Isaak
706,Chris Marker
707,Chris Penn
708,Chris Sarandon
709,Christelle Prot
710,Christian Bale
711,Christian Blümel
712,Christian Patey
713,Christine Kaufmann
714,Christine Lahti
715,Christoph Waltz
716,Christophe Delachaux
717,Christophe Paou
718,Christopher Burgard
719,Christopher Carley
720,Christopher Hitchens
721,Christopher Jones
722,Christopher Lee
723,Christopher Lloyd
724,Christopher Robinson
725,Christopher Walken
726,Christos Tsiolkas
727,Chuck Low
728,Chuck Roberson
729,Chung-Hsin Huang
730,Chuyi Zheng
731,Ciarán Hinds
732,Ciccio Ingrassia
733,Cid Lucero
734,Cindy Williams
735,Claire Bloom
736,Claire Maurier
737,Claire Trevor
738,Clancy Brown
739,Clara Calamai
740,Clarence Kolb
741,Clark Gable
742,Clark Marshall
743,Claude Benedict
744,Claude Dauphin
745,Claude Laydu
746,Claude Mansard
747,Claude Pascadel
748,Claude Piéplu
749,Claude Rains
750,Claudette Colbert
751,Claudia Cardinale
752,Claudia Drake
753,Claudia Lapacó
754,Claudine Longet
755,Claudio Brook
756,Claudio Cicchetti
757,Claudio Gora
758,Claudio Scarchilli
759,Clay Tanner
760,Clemens Scheinz
761,Cliff Gorman
762,Cliff Osmond
763,Cliff Robertson
764,Clifton Webb
765,Clint Eastwood
766,Clive Brook
767,Clive Francis
768,Cloris Leachman
769,Clotilde Hesme
770,Clyde Cook
771,Clytie Jessop
772,Clémentine Poidatz
773,Coco Golstein
774,Coleen Gray
775,Colin Blakely
776,Colin Clive
777,Colleen Camp
778,Colleen Foy
779,Conchita Perez
780,Concordia Selander
781,Connie Spence
782,Conrad Veidt
783,Constance Bennett
784,Constance Collier
785,Constance Cummins
786,Constance Talmadge
787,Constance Towers
788,Corentin Koskas
789,Corey Allen
790,Corinne Cole
791,Cornel Wilde
792,Corrado Pani
793,Cory Doctorow
794,Cory Hardrict
795,Costel Cascaval
796,Craig Hill
797,Craig Wasson
798,Crispin Glover
799,Cristina Gaioni
800,Cristina Raines
801,Críspulo Cabezas
802,Ctirad Götz
803,Curtis Cotton III
804,Cybill Shepherd
805,Cyd Charisse
