id,name
402,Robert Mulligan
403,Robert Rossen
404,Robert Siodmak
405,Robert Wiene
406,Robert Zemeckis
407,Roberto Gavaldón
408,Roberto Rossellini
409,Rodrigo Cortés
410,Roman Polanski
411,Rouben Mamoulian
412,Rupert Julian
413,Ryszard Bugajski
414,Sacha Guitry
415,Saeed Roustayi
416,Salvatore Mereu
417,Sam Peckinpah
418,Sam Taylor
419,Sam Wood
420,Samuel Fuller
421,Sandro Baldoni
422,Sandro Dionisio
423,Sang-soo Hong
424,Satyajit Ray
425,Seijun Suzuki
426,Semih Kaplanoglu
427,Sergei M. Eisenstein
428,Sergej Paradzanov
429,Sergey Bondarchuk
430,Sergio Leone
431,Sergio Sollima
432,Serif Gören
433,Seth Holt
434,Shadi Abdessalam
435,Shahram Mokri
436,Sharunas Bartas
437,Shohei Imamura
438,Sidney Bernstein
439,Sidney Lumet
440,Silvio Soldini
441,Sion Sono
442,Spike Lee
443,Stanley Donen
444,Stanley Kramer
445,Stanley Kubrick
446,Steno
447,Stephen Quay
448,Steve McLean
449,Steven Spielberg
450,Sun Chung
451,Sydney Pollack
452,Tadeusz Konwicki
453,Takashi Miike
454,Takeshi Kitano
455,Teinosuke Kinugasa
456,Tengiz Abuladze
457,Terence Davies
458,Terrence Malick
459,Theo Anghelopoulos
460,Tim Burton
461,Timm Kröger
462,Timothy Quay
463,Tobe Hooper
464,Tod Browning
465,Todd Haynes
466,Tomàs Gutiérrez Alea
467,Tony Richardson
468,Toshiya Fujita
469,Tsai Ming-liang
470,Vardis Marinakis
471,Veiko Õunpuu
472,Victor Erice
473,Victor Fleming
474,Victor Sjöström
475,Vincente Minnelli
476,Vitali Kanevski
477,Vittorio De Seta
478,Vittorio De Sica
479,Vsevolod Pudovkin
480,W.S. Van Dyke
481,Walter Hill
482,Werner Herzog
483,Werner Schroeter
484,William A. Wellman
485,William Dieterle
486,William Friedkin
487,William Wyler
488,Wim Wenders
489,Wojciech J. Has
490,Wolfgang Kohlhaase
491,Wong Kar-wai
492,Woody Allen
493,Xavier Beauvois
494,Xiaogang Feng
495,Yang Fen-Gliang
496,Yasujiro Ozu
497,Ye Lou
498,Yilmaz Güney
499,Yoji Yamada
500,Yong Kyun Bae
501,Yonggang Wu
502,Yue Dong
503,Yuriy Bykov
504,Zhang Yimou
505,Zhuangzhuang Tian
506,Zvonimir Juric
